Unnamed: 0,datetime,open,high,low,close,volume,shadow,abs_diff,avg_abs_diff_15d,new_column,signal_1,HL,HC,LC,TR,ATR,Upper Band,Lower Band,Supertrend,In Uptrend,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Chikou Span,Buy Signal,Sell Signal,signal_2,combined_signal,signal,signals,trade_type
1479,2023-09-26,26290.5,26388.0,26073.8,26208.8,180491.169,1.652386780905738,81.70000000000073,611.0641654422612,0.0,0,314.2000000000007,97.5,216.70000000000073,314.2000000000007,372.2599999999999,27347.68,25214.54,25214.54,True,26722.5,26184.0,26453.25,27415.5,25928.0,False,False,0,0.0,0,0,hold
1480,2023-09-27,26208.7,26849.9,26050.0,26359.6,353002.84,-3.2491716368456594,150.89999999999782,504.4089342104444,0.0,0,799.9000000000015,641.1000000000022,158.79999999999927,799.9000000000015,475.2800000000003,27875.79,25214.54,25214.54,True,26722.5,26184.0,26453.25,27415.5,25795.6,False,False,0,0.0,0,0,hold
1481,2023-09-28,26359.6,27308.7,26325.2,27011.8,429587.858,-0.45522845752836727,652.2000000000007,580.0156042734834,0.0006979890486482165,-1,983.5,949.1000000000022,34.39999999999782,983.5,646.3000000000008,28755.850000000002,25214.54,25214.54,True,26673.0,26184.0,26428.5,27415.5,25855.8,True,False,1,-1.0,-1,-1,square_off
1482,2023-09-29,27011.7,27231.5,26625.0,26890.9,277397.643,2.2011589403973764,120.79999999999927,566.752272972243,0.0,0,606.5,219.70000000000073,386.7999999999993,606.5,635.8200000000004,28835.710000000003,25214.54,25214.54,True,26636.85,26184.0,26410.425,27365.35,25962.1,True,False,1,1.0,1,1,long
1483,2023-09-30,26890.9,27085.0,26870.4,26950.9,92317.154,-2.234999999999976,60.0,566.9322966239869,0.0,0,214.59999999999854,194.09999999999854,20.5,214.59999999999854,583.7400000000001,28728.920000000002,25226.48,25226.48,True,26636.85,26184.0,26410.425,27155.4,25814.0,True,False,1,1.0,1,0,hold
1484,2023-10-01,26951.0,28365.2,26939.0,27981.4,240382.946,-0.3724767080745329,1030.4000000000015,789.9527930830752,0.0003614874884263707,-1,1426.2000000000007,1414.2999999999993,11.900000000001455,1426.2000000000007,806.1400000000001,30070.519999999997,25233.68,25233.68,True,27165.1,26626.6,26895.85,27133.85,25779.7,True,False,1,-1.0,-1,-1,square_off
1485,2023-10-02,27981.4,28613.0,27255.0,27477.6,593277.72,0.4418420007939604,503.8000000000029,820.3790764056059,0.0,0,1358.0,631.5999999999985,726.4000000000015,1358.0,917.7599999999999,30687.28,25233.68,25233.68,True,27289.0,26750.5,27019.75,27133.85,25747.4,True,False,1,1.0,1,1,long
1486,2023-10-03,27477.7,27665.0,27123.0,27412.0,283077.899,4.398782343987775,65.70000000000073,818.7543422744554,0.0,0,542.0,187.40000000000146,354.59999999999854,542.0,829.4599999999998,29882.379999999997,25233.68,25233.68,True,27289.0,26750.5,27019.75,27133.85,26240.7,True,False,1,1.0,1,0,hold
1487,2023-10-04,27412.0,27830.0,27163.9,27759.8,280784.322,-0.2018401380103533,347.7999999999993,807.0152534808634,0.0,0,666.0999999999985,418.0,248.09999999999854,666.0999999999985,841.3799999999995,30021.09,25233.68,25233.68,True,27331.5,26750.5,27041.0,27133.85,25899.8,True,False,1,1.0,1,0,hold
1488,2023-10-05,27759.7,28110.0,27333.5,27398.4,370190.087,0.17962911707722554,361.2999999999993,818.6723817140091,0.0,0,776.5,350.2000000000007,426.2999999999993,776.5,953.7599999999999,30583.03,25233.68,25233.68,True,27331.5,26750.5,27041.0,27036.55,25892.6,True,False,1,1.0,1,0,hold
1489,2023-10-06,27398.3,28450.0,27156.0,27916.3,438445.904,-1.0303088803088818,518.0,812.1513739737695,0.0,0,1294.0,1051.5999999999985,242.40000000000146,1294.0,927.3199999999997,30584.96,25233.68,25233.68,True,27469.1,26750.5,27109.8,26919.2,25828.4,True,False,1,1.0,1,0,hold
1490,2023-10-07,27916.3,28018.7,27822.1,27943.0,117049.145,-2.835205992509313,26.700000000000728,811.5099560609414,0.0,0,196.60000000000218,102.40000000000146,94.20000000000073,196.60000000000218,695.0400000000002,30005.520000000004,25835.28,25835.28,True,27619.0,26864.7,27241.85,26678.45,25150.4,True,False,1,1.0,1,0,hold
1491,2023-10-08,27943.0,28082.0,27671.0,27901.2,178380.307,5.507177033492936,41.79999999999927,809.5498477112301,0.0,0,411.0,139.0,272.0,411.0,668.8400000000001,29883.02,25869.98,25869.98,True,27741.7,27181.5,27461.6,26750.5,25825.8,True,False,1,1.0,1,0,hold
1492,2023-10-09,27901.2,27977.0,27250.0,27578.3,314316.581,1.0167234437906405,322.90000000000146,808.9095275065407,0.0,0,727.0,75.79999999999927,651.2000000000007,727.0,681.0200000000004,29656.56,25869.98,25869.98,True,27776.0,27289.0,27532.5,26750.5,26209.9,True,False,1,1.0,1,0,hold
1493,2023-10-10,27578.4,27727.3,27281.0,27381.2,239779.496,0.5081135902636935,197.20000000000073,807.7620832280376,0.0,0,446.2999999999993,149.0,297.2999999999993,446.2999999999993,614.9800000000002,29349.090000000004,25869.98,25869.98,True,27868.0,27289.0,27578.5,26750.5,26510.3,False,False,0,0.0,0,0,hold
1494,2023-10-11,27381.3,27467.6,26525.0,26864.5,388186.571,0.6569272445820443,516.7999999999993,833.9916628750086,0.0,0,942.5999999999985,86.39999999999782,856.2000000000007,942.5999999999985,544.7,28630.399999999998,25869.98,25869.98,True,27487.5,27289.0,27388.25,26750.5,26591.1,False,False,0,0.0,0,0,hold
1495,2023-10-12,26864.5,26939.0,26534.8,26744.0,220279.04,1.7360995850622467,120.5,834.6130418485113,0.0,0,404.2000000000007,74.5,329.7000000000007,404.2000000000007,586.2199999999997,28495.56,25869.98,25869.98,True,27487.5,27289.0,27388.25,26750.5,26546.9,False,False,0,0.0,0,0,hold
